No.,No. in,Title,Directed by,Written by,Original air date,U.S. viewers
overall,season,,,,,(millions)
1,1,"""Pilot""",Kevin Bray,Aaron Korsh,"June 23, 2011",4.64[3]
2,2,"""Errors and Omissions""",John Scott,Sean Jablonski,"June 30, 2011",3.89[4]
3,3,"""Inside Track""",Kevin Bray,Aaron Korsh,"July 7, 2011",4.53[5]
4,4,"""Dirty Little Secrets""",Dennie Gordon,Jon Cowan,"July 14, 2011",4.38[6]
5,5,"""Bail Out""",Kate Woods,Ethan Drogin,"July 21, 2011",4.38[7]
6,6,"""Tricks of the Trade""",Terry McDonough,Rick Muirragui,"July 28, 2011",4.44[8]
7,7,"""Play the Man""",Tim Matheson,Erica Lipez,"August 4, 2011",4.03[9]
8,8,"""Identity Crisis""",Norberto Barba,Ethan Drogin,"August 11, 2011",3.96[10]
9,9,"""Undefeated""",Felix Alcala,Rick Muirragui,"August 18, 2011",4.45[11]
10,10,"""Shelf Life""",Jennifer Getzinger,Sean Jablonski,"August 25, 2011",3.82[12]
11,11,"""Rules of the Game""",Mike Smith,Jon Cowan,"September 1, 2011",3.96[13]
12,12,"""Dog Fight""",Kevin Bray,Aaron Korsh,"September 8, 2011",3.47[14]
25,13,"""Zane vs. Zane""",Nicole Kassell,Rick Muirragui,"January 31, 2013",3.36[27]
26,14,"""He's Back""",Kevin Bray,Daniel Arkin,"February 7, 2013",3.07[28]
27,15,"""Normandy""",Terry McDonough,Jon Cowan,"February 14, 2013",2.90[29]
28,16,"""War""",John Scott,Aaron Korsh,"February 21, 2013",3.20[3
