No.,No. in,Title,Directed by,Written by,Original air date,U.S. viewers
overall,season,,,,,(millions)
13,1,"""She Knows""",Michael Smith,Aaron Korsh,"June 14, 2012",3.47[15]
14,2,"""The Choice""",Kevin Bray,Jon Cowan,"June 21, 2012",3.80[16]
15,3,"""Meet the New Boss""",Michael Smith,Erica Lipez,"June 28, 2012",3.88[17]
16,4,"""Discovery""",Kevin Bray,Daniel Arkin,"July 12, 2012",3.70[18]
17,5,"""Break Point""",Christopher Misiano,Ethan Drogin,"July 19, 2012",3.72[19]
18,6,"""All In""",John Scott,Karla Nappi,"July 26, 2012",3.89[20]
19,7,"""Sucker Punch""",Adam Davidson,Genevieve Sparling,"August 2, 2012",3.41[21]
20,8,"""Rewind""",Félix Alcalá,Rick Muirragui,"August 9, 2012",3.42[22]
21,9,"""Asterisk""",Jennifer Getzinger,Justin Peacock,"August 16, 2012",4.00[23]
22,10,"""High Noon""",Kevin Bray,Erica Lipez,"August 23, 2012",4.48[24]
23,11,"""Blind-Sided""",David Platt,Ethan Drogin,"January 17, 2013",3.57[25]
24,12,"""Blood in the Water""",Roger Kumble,Genevieve Sparling,"January 24, 2013",3.75[26]
25,13,"""Zane vs. Zane""",Nicole Kassell,Rick Muirragui,"January 31, 2013",3.36[27]
26,14,"""He's Back""",Kevin Bray,Daniel Arkin,"February 7, 2013",3.07[28]
27,15,"""Normandy""",Terry McDonough,Jon Cowan,"February 14, 2013",2.90[29]
28,16,"""War""",John Scott,Aaron Korsh,"February 21, 2013",3.20[3
