"TIME","European Union - 28 countries (2013-2020)","Belgium","Czechia","Denmark","Spain","Italy","Lithuania","Poland","Finland","Sweden","ISCO","total_employment","share_Belgium","share_Spain","share_Poland"
"2011-Q1",12850.9,279,223.5,57.6,879.8,896,120,963.5,137.2,232.6,1,7755470.8,3.59746051780635e-05,0.000113442500486237,0.000124234882039656
"2011-Q2",12834.2,304.7,226.2,58.2,911.6,897,118.9,918.4,135.8,236,1,7755470.8,3.92883949740356e-05,0.000117542831829113,0.000118419632242056
"2011-Q3",12763.1,348.8,227.3,107.5,881.4,840.1,107,913.8,123.5,238.5,1,7755470.8,4.49747035344392e-05,0.000113648806465753,0.000117826502550948
"2011-Q4",12668.1,347.9,230.3,74.1,888.2,764.9,107.8,935.9,106.6,246.1,1,7755470.8,4.48586564209616e-05,0.000114525606878695,0.000120676103893009
"2012-Q1",12197.3,304,231.1,50.6,848.8,762.2,107.5,952.5,102.5,249.8,1,7755470.8,3.91981361079975e-05,0.000109445322133119,0.000122816528430485
"2012-Q2",12465.8,341,241.3,52,856.4,790.1,112.3,952,92.3,260.7,1,7755470.8,4.39689618842998e-05,0.000110425275535819,0.000122752057811887
"2012-Q3",12627.4,397.9,252.5,52.1,832.7,787.9,111.6,947.8,87,266.1,1,7755470.8,5.13057182808296e-05,0.000107369368214242,0.000122210504615658
"2012-Q4",12521.7,405.9,260.1,49.3,818.2,793,111.8,971.7,78.2,265.6,1,7755470.8,5.23372481784085e-05,0.00010549972027488,0.000125292200184675
"2013-Q1",12350.6,365.9,265.6,49.1,809.4,786.2,108.3,952.7,69.9,265.4,1,7755470.8,4.71795986905141e-05,0.000104365037387543,0.000122842316677925
"2013-Q2",12458.5,350.2,272.4,46.3,783.8,770.3,109.8,960.1,67.6,257.3,1,7755470.8,4.51552212665155e-05,0.000101064141715291,0.000123796481833185
"2013-Q3",12418.7,358.1,266.6,55.3,776.7,785.1,113.9,961.1,70.8,265.1,1,7755470.8,4.61738570403746e-05,0.00010014865893119,0.000123925423070383
"2013-Q4",12485,377.2,257.7,54.6,761.2,794.6,113.2,987.6,61.3,261.7,1,7755470.8,4.86366346708442e-05,9.81500697546305e-05,0.000127342365856113
"2014-Q1",12490,388.4,250,51.9,758.5,768.8,112,996.9,66.5,260.5,1,7755470.8,5.00807765274547e-05,9.78019284141976e-05,0.000128541519362048
"2014-Q2",12411.3,412.3,248.3,49.8,748.5,804,108.5,959.2,62.1,257.7,1,7755470.8,5.31624720964716e-05,9.6512516042224e-05,0.000123680434719708
