episode,viewers
1,2.22
2,2.20
3,2.44
4,2.45
5,2.58
6,2.44
7,2.40
8,2.72
9,2.66
10,3.04
11,3.86
12,3.76
13,3.77
14,3.65
15,3.90
16,3.88
17,3.69
18,3.86
19,3.38
20,4.20
21,4.37
22,4.27
23,4.72
24,4.87
25,5.35
26,5.50
27,4.84
28,5.13
29,5.22
30,5.39
31,6.64
32,6.31
33,6.59
34,6.95
35,7.16
36,6.40
37,7.20
38,7.17
39,6.95
40,7.09
41,8.00
42,6.81
43,6.71
44,6.82
45,6.56
46,6.24
47,5.40
48,7.01
49,7.14
50,8.11
51,7.94
52,7.29
53,7.28
54,7.82
55,7.89
56,6.71
57,7.80
58,7.60
59,7.66
60,8.89
61,10.11
62,9.27
63,9.25
64,10.17
65,10.72
66,10.24
67,12.07
68,11.76
69,10.29
70,12.02
71,11.80
72,12.48
73,13.61
